Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Games Played,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Connor McDavid,C,EDM,367.5,Mitchell's Team,Mitchell,Mitchell's Team,Mitchell,1,1,1.4,1.0,,,,,,,,,,,,,,100.0
Auston Matthews,C,TOR,313.9,DubJ,John,DubJ,John,1,6,6.5,1.0,,,,,,,,,,,,,,100.0
Leon Draisaitl,"C,LW",EDM,301.3,Double Ogre Time,Jesse,Double Ogre Time,Jesse,1,4,3.3,1.0,,,,,,,,,,,,,,100.0
Brady Tkachuk,LW,OTT,276.9,Cam's Mustard Tigers,Cameron,Cam's Mustard Tigers,Cameron,2,14,43.4,1.0,,,,,,,,,,,,,,94.0
Brad Marchand,LW,FLA,275.0,Mitchell's Team,Mitchell,Mitchell's Team,Mitchell,2,16,19.7,1.0,,,,,,,,,,,,,,99.0
Mikko Rantanen,RW,DAL,266.2,conor's Team,conor,conor's Team,conor,2,15,15.0,1.0,,,,,,,,,,,,,,99.0
Nathan MacKinnon,C,COL,264.6,conor's Team,conor,conor's Team,conor,1,2,2.3,1.0,,,,,,,,,,,,,,99.0
Mitch Marner,RW,VGK,254.5,Goonsquad,Johnathan,Goonsquad,Johnathan,3,21,17.6,1.0,,,,,,,,,,,,,,99.0
Darnell Nurse,D,EDM,249.9,Double Ogre Time,Jesse,Double Ogre Time,Jesse,10,77,132.2,1.0,,,,,,,,,,,,,,95.0
Evander Kane,"LW,RW",VAN,248.7,Left Wing Lads,Ryan,Left Wing Lads,Ryan,7,56,74.8,1.0,,,,,,,,,,,,,,92.0
Aleksander Barkov,C,FLA,246.6,Mitchell's Team,Mitchell,DubJ,John,8,59,46.3,1.0,,,,,,,,,,,,,,96.0
Sidney Crosby,C,PIT,245.4,Goonsquad,Johnathan,Goonsquad,Johnathan,2,12,11.6,1.0,,,,,,,,,,,,,,99.0
Alex DeBrincat,"LW,RW",DET,245.3,conor's Team,conor,conor's Team,conor,12,95,94.5,1.0,,,,,,,,,,,,,,92.0
Mika Zibanejad,C,NYR,245.0,Left Wing Lads,Ryan,Left Wing Lads,Ryan,2,9,16.6,1.0,,,,,,,,,,,,,,96.0
Andrei Vasilevskiy,G,TB,243.8,DubJ,John,DubJ,John,4,27,7.8,1.0,,,,,,,,,,,,,,99.0
Patrice Bergeron,C,BOS,243.3,conor's Team,conor,conor's Team,conor,4,31,41.8,1.0,,,,,,,,,,,,,,97.0
Gabriel Landeskog,"C,LW",COL,236.6,Goonsquad,Johnathan,Goonsquad,Johnathan,6,44,34.8,1.0,,,,,,,,,,,,,,98.0
Joe Pavelski,"C,RW",DAL,234.8,,,,,,,149.6,0.18,,,,,,,,,,,,,,90.0
Sebastian Aho,C,CAR,233.4,Left Wing Lads,Ryan,Left Wing Lads,Ryan,1,8,10.8,1.0,,,,,,,,,,,,,,99.0
Patrick Kane,RW,DET,231.1,Miller Time,Ross,Miller Time,Ross,2,10,10.4,1.0,,,,,,,,,,,,,,97.0
