Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Games Played,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Nathan MacKinnon,C,COL,440.65,Papi,Nick,Papi,Nick,1,2,2.4,1.0,79.0,32.0,84.0,116.0,41.0,320.0,38.0,58.0,,,,,,92.0
David Pastrnak,RW,BOS,425.9,Goon Cave Mommies,Kyle,Goon Cave Mommies,Kyle,1,6,5.7,1.0,82.0,43.0,63.0,106.0,42.0,319.0,58.0,24.0,,,,,,98.0
Nikita Kucherov,RW,TB,418.65,66 Million Reasons,Cooper,66 Million Reasons,Cooper,1,5,4.8,1.0,78.0,37.0,84.0,121.0,45.0,265.0,23.0,33.0,,,,,,100.0
Brady Tkachuk,"C,LW",OTT,392.55,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,1,9,11.4,1.0,72.0,29.0,26.0,55.0,123.0,296.0,228.0,33.0,,,,,,95.0
Leon Draisaitl,"C,LW",EDM,388.5,Bangers and Mash,conor,Bangers and Mash,conor,1,3,5.4,1.0,71.0,52.0,54.0,106.0,34.0,240.0,23.0,27.0,,,,,,96.0
Filip Forsberg,LW,NSH,387.6,No Ragretzky,Ross,No Ragretzky,Ross,1,15,20.9,1.0,82.0,31.0,45.0,76.0,44.0,281.0,151.0,52.0,,,,,,98.0
Cale Makar,D,COL,387.5,Ice Ice Baby,David,Ice Ice Baby,David,1,8,9.0,1.0,80.0,30.0,62.0,92.0,14.0,246.0,51.0,128.0,,,,,,91.0
Tom Wilson,RW,WSH,377.2,PENS15 Club,Brad,PENS15 Club,Brad,3,37,163.9,0.57,81.0,33.0,32.0,65.0,100.0,169.0,233.0,71.0,,,,,,79.0
Kyle Connor,LW,WPG,374.85,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,4,56,40.5,1.0,82.0,41.0,56.0,97.0,25.0,267.0,21.0,46.0,,,,,,99.0
Zach Werenski,D,CBJ,373.95,PENS15 Club,Brad,PENS15 Club,Brad,6,108,114.8,1.0,81.0,23.0,59.0,82.0,31.0,298.0,19.0,131.0,,,,,,97.0
Brandon Hagel,"LW,RW",TB,368.3,Ice Ice Baby,David,Ice Ice Baby,David,7,116,104.4,1.0,82.0,35.0,55.0,90.0,58.0,228.0,59.0,60.0,,,,,,96.0
Kiefer Sherwood,"LW,RW",VAN,360.95,Stammer Time,Johnathan,,,,,,,78.0,19.0,21.0,40.0,35.0,141.0,462.0,30.0,,,,,,43.0
Sam Reinhart,"C,RW",FLA,358.95,MasterSkaters,Aj,MasterSkaters,Aj,2,26,27.1,1.0,79.0,39.0,42.0,81.0,27.0,213.0,103.0,62.0,,,,,,97.0
Sidney Crosby,C,PIT,355.95,MasterSkaters,Aj,MasterSkaters,Aj,1,11,25.2,1.0,80.0,33.0,58.0,91.0,31.0,227.0,67.0,39.0,,,,,,99.0
Mark Scheifele,C,WPG,353.85,Rant and Roll,Bruce,Rant and Roll,Bruce,6,102,127.4,1.0,82.0,39.0,48.0,87.0,61.0,181.0,73.0,60.0,,,,,,94.0
Vincent Trocheck,C,NYR,352.6,Montour’s Monsters,Eric,Montour’s Monsters,Eric,3,49,59.7,1.0,82.0,26.0,33.0,59.0,44.0,202.0,214.0,78.0,,,,,,88.0
Auston Matthews,C,TOR,352.0,Papi,Nick,Ryan is Aho,Mitchell,1,4,4.1,1.0,67.0,33.0,45.0,78.0,20.0,261.0,45.0,89.0,,,,,,100.0
MacKenzie Weegar,D,CGY,349.85,DubJ,John,DubJ,John,3,46,77.2,1.0,81.0,8.0,39.0,47.0,33.0,184.0,223.0,192.0,,,,,,98.0
Connor Hellebuyck,G,WPG,347.8,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,3,45,24.1,1.0,,,,,,,,,47.0,1539.0,0.9248798076923077,125.0,8.0,99.0
