Player,Pos,Team,Rank,Fan Pts,Cur Team,Owner,Draft Team,Draft Owner,Rd,Pick,ADP,% Draft,GP,G,A,P,PIM,SOG,HIT,BLK,W,SV,SV%,GA,SO,% Own,Fan Pts/GP,ID
Nathan MacKinnon,C,COL,1,303.20,Kiril’s KaprizHog,Eric,Kiril’s KaprizHog,Eric,1,1,2.4,1.0,44,36,42,78,16,205,38,25,,,,,,100.0,6.89,465.p.5980
Connor McDavid,C,EDM,2,273.60,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,1,2,1.4,1.0,45,30,48,78,16,171,20,18,,,,,,100.0,6.08,465.p.6743
Macklin Celebrini,C,SJ,3,250.60,Pond Hockey Stars,PIERRE,Pond Hockey Stars,PIERRE,2,18,43.8,1.0,44,24,46,70,28,147,26,26,,,,,,100.0,5.70,465.p.32763
Mikko Rantanen,"LW,RW",DAL,4,223.25,Bangers and Mash,conor,Bangers and Mash,conor,1,7,10.5,1.0,44,18,43,61,77,107,32,21,,,,,,100.0,5.07,465.p.6752
Jason Robertson,"LW,RW",DAL,5,221.40,Bangers and Mash,conor,Bangers and Mash,conor,3,35,31.7,1.0,45,26,28,54,12,167,26,18,,,,,,100.0,4.92,465.p.7554
Matt Boldy,"LW,RW",MIN,6,218.00,Powerplay Papi,Cooper,Powerplay Papi,Cooper,3,36,33.0,1.0,46,27,23,50,20,152,31,32,,,,,,100.0,4.74,465.p.8290
David Pastrnak,RW,BOS,7,217.80,Sure Would,Johnathan,Sure Would,Johnathan,1,6,8.2,1.0,40,19,36,55,32,139,47,16,,,,,,100.0,5.45,465.p.6391
Leon Draisaitl,"C,LW",EDM,8,217.60,The Leon King,cam,The Leon King,cam,1,3,3.0,1.0,45,23,40,63,20,128,20,11,,,,,,100.0,4.84,465.p.6369
Kirill Kaprizov,LW,MIN,9,214.90,Cooley as a Cucumber,Ryan,Cooley as a Cucumber,Ryan,1,10,7.3,1.0,46,25,27,52,14,165,23,18,,,,,,100.0,4.67,465.p.6877
Nikita Kucherov,RW,TB,10,213.70,Ross' Rink Rats,Ross,Ross' Rink Rats,Ross,1,5,4.5,1.0,39,22,43,65,18,114,15,14,,,,,,100.0,5.48,465.p.5425
Tom Wilson,RW,WSH,11,213.15,Pond Hockey Stars,PIERRE,Pond Hockey Stars,PIERRE,4,46,93.0,1.0,41,22,20,42,59,97,110,24,,,,,,93.0,5.20,465.p.5696
Cale Makar,D,COL,12,205.50,Cale of Two Cities,Jared,Cale of Two Cities,Jared,1,4,5.2,1.0,44,13,38,51,18,119,21,75,,,,,,100.0,4.67,465.p.7519
Kiefer Sherwood,"LW,RW",VAN,13,204.50,Sure Would,Johnathan,Sure Would,Johnathan,6,79,107.8,0.9,44,17,6,23,22,109,210,21,,,,,,56.0,4.65,465.p.7854
Tim Stutzle,"C,LW",OTT,14,201.45,Ryan is Aho,Mitchell,Ryan is Aho,Mitchell,4,45,42.2,1.0,44,19,26,45,29,106,77,30,,,,,,99.0,4.58,465.p.8643
Martin Necas,RW,COL,15,199.60,Ross' Rink Rats,Ross,Ross' Rink Rats,Ross,5,61,46.7,1.0,44,20,35,55,24,100,46,13,,,,,,99.0,4.54,465.p.7527
Tage Thompson,"C,RW",BUF,16,198.15,DubJ,John,DubJ,John,3,42,37.1,1.0,43,22,19,41,23,149,47,25,,,,,,98.0,4.61,465.p.7134
Zach Werenski,D,CBJ,17,197.90,DubJ,John,DubJ,John,1,14,20.3,1.0,40,16,30,46,6,147,18,56,,,,,,100.0,4.95,465.p.6750
Alex DeBrincat,"LW,RW",DET,18,196.70,Cale of Two Cities,Jared,Cale of Two Cities,Jared,6,81,69.1,1.0,46,23,23,46,10,157,22,19,,,,,,97.0,4.28,465.p.7147
Sidney Crosby,C,PIT,19,193.50,DubJ,John,Sure Would,Johnathan,3,34,36.3,1.0,43,24,25,49,30,103,39,18,,,,,,100.0,4.50,465.p.3737
Moritz Seider,D,DET,20,192.75,Kiril’s KaprizHog,Eric,Kiril’s KaprizHog,Eric,3,29,53.6,1.0,46,7,25,32,39,102,74,104,,,,,,99.0,4.19,465.p.8284
Kyle Connor,LW,WPG,21,191.90,Ryan is Aho,Mitchell,Ryan is Aho,Mitchell,2,17,15.9,1.0,43,21,31,52,10,144,10,7,,,,,,100.0,4.46,465.p.6759
Wyatt Johnston,"C,RW",DAL,22,191.80,The Leon King,cam,The Leon King,cam,7,87,63.0,1.0,45,24,26,50,12,114,15,33,,,,,,98.0,4.26,465.p.8898
Adrian Kempe,RW,LA,23,191.00,Powerplay Papi,Cooper,Powerplay Papi,Cooper,4,49,49.9,1.0,44,15,20,35,40,123,88,29,,,,,,98.0,4.34,465.p.6395
Brad Marchand,"LW,RW",FLA,24,188.60,Sure Would,Johnathan,Sure Would,Johnathan,11,146,147.5,0.9,41,23,23,46,32,115,33,16,,,,,,92.0,4.60,465.p.4351
Cutter Gauthier,LW,ANA,25,188.40,Cooley as a Cucumber,Ryan,Cooley as a Cucumber,Ryan,12,159,169.7,0.3,45,20,20,40,16,167,32,12,,,,,,91.0,4.19,465.p.31759
Auston Matthews,C,TOR,26,187.30,Powerplay Papi,Cooper,Powerplay Papi,Cooper,1,8,8.8,1.0,38,21,14,35,14,151,22,59,,,,,,100.0,4.93,465.p.7109
Sam Reinhart,"C,RW",FLA,27,187.30,Powerplay Papi,Cooper,Powerplay Papi,Cooper,2,21,22.6,1.0,44,23,21,44,6,116,44,27,,,,,,100.0,4.26,465.p.6368
Morgan Geekie,"C,LW,RW",BOS,28,187.30,Geek Squad,Nick,Geek Squad,Nick,14,188,161.7,0.9,45,25,16,41,14,106,70,16,,,,,,90.0,4.16,465.p.7582
Mika Zibanejad,"C,RW",NYR,29,187.00,Pond Hockey Stars,PIERRE,Pond Hockey Stars,PIERRE,10,130,136.5,0.9,45,17,23,40,8,120,69,31,,,,,,86.0,4.16,465.p.5367
Dylan Larkin,C,DET,30,187.00,Cooley as a Cucumber,Ryan,Cooley as a Cucumber,Ryan,8,103,81.9,1.0,46,23,19,42,32,133,21,26,,,,,,97.0,4.07,465.p.6381
Jakob Chychrun,D,WSH,31,186.65,Eichel Power,Bruce,Eichel Power,Bruce,5,69,65.6,1.0,45,15,17,32,37,150,39,57,,,,,,99.0,4.15,465.p.7124
Will Cuylle,"LW,RW",NYR,32,184.55,Sure Would,Johnathan,Sure Would,Johnathan,9,118,140.5,0.9,46,10,13,23,31,90,160,52,,,,,,44.0,4.01,465.p.8699
Mark Scheifele,C,WPG,33,184.30,Cale of Two Cities,Jared,Cale of Two Cities,Jared,4,53,56.6,1.0,43,22,30,52,22,94,19,19,,,,,,98.0,4.29,465.p.5368
Alex Ovechkin,"LW,RW",WSH,34,182.00,Pond Hockey Stars,PIERRE,Pond Hockey Stars,PIERRE,3,39,42.7,1.0,45,19,19,38,12,121,80,9,,,,,,98.0,4.04,465.p.3637
Sam Bennett,C,FLA,35,180.90,Eichel Power,Bruce,Eichel Power,Bruce,8,100,124.8,1.0,44,16,17,33,42,111,89,21,,,,,,79.0,4.11,465.p.6370
Nick Suzuki,C,MTL,36,180.40,Bangers and Mash,conor,Bangers and Mash,conor,5,63,52.4,1.0,45,14,34,48,8,98,34,39,,,,,,99.0,4.01,465.p.7528
Dylan Guenther,"LW,RW",UTA,37,180.00,Kiril’s KaprizHog,Eric,Kiril’s KaprizHog,Eric,6,84,88.2,1.0,45,21,16,37,20,145,39,16,,,,,,93.0,4.00,465.p.8885
Dylan Cozens,C,OTT,38,179.40,Ross' Rink Rats,Ross,Ross' Rink Rats,Ross,10,136,166.3,0.7,44,12,19,31,36,101,125,15,,,,,,54.0,4.08,465.p.8285
Artemi Panarin,LW,NYR,39,179.10,Ryan is Aho,Mitchell,Ryan is Aho,Mitchell,3,40,27.3,1.0,45,16,33,49,14,139,7,8,,,,,,99.0,3.98,465.p.6728
Jack Eichel,C,VGK,40,177.30,Eichel Power,Bruce,Eichel Power,Bruce,2,16,15.7,1.0,36,14,32,46,2,132,21,24,,,,,,100.0,4.93,465.p.6744
Alex Tuch,"LW,RW",BUF,41,176.75,Ryan is Aho,Mitchell,Ryan is Aho,Mitchell,7,96,133.4,1.0,42,14,22,36,43,107,44,49,,,,,,89.0,4.21,465.p.6384
Juraj Slafkovský,"LW,RW",MTL,42,176.50,Powerplay Papi,Cooper,Powerplay Papi,Cooper,7,92,117.5,1.0,45,16,19,35,42,88,69,43,,,,,,88.0,3.92,465.p.9269
Cole Caufield,"LW,RW",MTL,43,176.20,Pond Hockey Stars,PIERRE,Pond Hockey Stars,PIERRE,5,67,55.2,1.0,45,21,21,42,8,128,33,12,,,,,,99.0,3.92,465.p.8293
Filip Forsberg,LW,NSH,44,176.20,Geek Squad,Nick,Geek Squad,Nick,2,20,27.0,1.0,44,16,15,31,20,129,89,15,,,,,,98.0,4.00,465.p.5691
Evan Bouchard,D,EDM,45,175.40,Ross' Rink Rats,Ross,Ross' Rink Rats,Ross,2,24,20.4,1.0,45,9,34,43,16,112,13,66,,,,,,100.0,3.90,465.p.7908
Jake Guentzel,"LW,RW",TB,46,175.25,The Leon King,cam,The Leon King,cam,2,26,30.7,1.0,43,19,26,45,17,110,18,27,,,,,,99.0,4.08,465.p.6057
MacKenzie Weegar,D,CGY,47,173.35,Sure Would,Johnathan,Sure Would,Johnathan,2,23,46.5,1.0,45,3,13,16,59,103,110,96,,,,,,91.0,3.85,465.p.6184
Andrei Svechnikov,"LW,RW",CAR,48,173.20,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,7,86,104.8,1.0,45,12,23,35,32,126,73,9,,,,,,77.0,3.85,465.p.7900
Connor Bedard,"C,RW",CHI,49,172.10,Cale of Two Cities,Jared,Cale of Two Cities,Jared,5,60,53.7,1.0,33,19,27,46,30,110,9,15,,,,,,99.0,5.22,465.p.30544
Matthew Knies,LW,TOR,50,171.05,The Leon King,cam,The Leon King,cam,6,82,83.4,1.0,41,12,26,38,17,86,95,16,,,,,,90.0,4.17,465.p.30227
Sebastian Aho,C,CAR,51,170.70,Pond Hockey Stars,PIERRE,Pond Hockey Stars,PIERRE,6,74,65.4,1.0,45,17,26,43,18,105,37,16,,,,,,95.0,3.79,465.p.6777
Brandon Hagel,"LW,RW",TB,52,170.30,Geek Squad,Nick,Geek Squad,Nick,4,48,56.0,1.0,38,21,18,39,26,111,30,21,,,,,,97.0,4.48,465.p.7264
Joel Eriksson Ek,C,MIN,53,168.00,DubJ,John,DubJ,John,6,71,119.2,1.0,45,11,21,32,20,133,68,19,,,,,,78.0,3.73,465.p.6762
