,,,,,,,,,,,,,,,,Skaters,,,,,,,,,,Goalies,,,
,,,,,,,,,,Records,,,,,,Totals,,,,,,Records,,,,Totals,,,
Rank,Team Name,Manager,Wins,Losses,Ties,Win %,Points For,Points Against,Playoff Seed,G,A,PIM,SOG,HIT,BLK,G,A,PIM,SOG,HIT,BLK,W,GA,SV,SHO,W,GA,SV,SHO
1,Sure Would,Johnathan,11,2,0,0.846,2513.4,2329.7,1,,,,,,,174,248,553,1414,1111,701,,,,,35,179,1586,6
2,The Leon King,cam,11,2,0,0.846,2465.0,2256.6,2,,,,,,,191,346,252,1409,547,579,,,,,41,194,1719,4
3,Kiril’s KaprizHog,Eric,11,2,0,0.846,2418.6,2227.9,3,,,,,,,191,266,313,1552,1103,549,,,,,19,138,1012,0
4,DubJ,John,8,5,0,0.615,2433.4,2253.0,4,,,,,,,180,292,341,1614,734,614,,,,,30,177,1466,0
5,Powerplay Papi,Cooper,7,6,0,0.538,2464.9,2401.2,5,,,,,,,180,240,363,1524,951,613,,,,,34,187,1777,6
6,Cooley as a Cucumber,Ryan,6,7,0,0.462,2385.4,2377.3,6,,,,,,,194,322,342,1604,492,526,,,,,29,162,1366,3
7,Ryan is Aho,Mitchell,6,7,0,0.462,2358.8,2334.2,7,,,,,,,172,235,422,1335,751,536,,,,,47,229,2179,4
8,Eichel Power,Bruce,6,7,0,0.462,2210.8,2396.8,8,,,,,,,150,268,321,1457,551,466,,,,,39,203,1962,4
9,Geek Squad,Nick,5,8,0,0.385,2415.8,2482.5,,,,,,,,157,238,333,1312,697,525,,,,,69,363,3418,8
10,Ross' Rink Rats,Ross,5,8,0,0.385,2311.8,2203.2,,,,,,,,185,309,315,1349,653,494,,,,,35,157,1397,1
11,Pond Hockey Stars,PIERRE,5,8,0,0.385,2310.4,2483.2,,,,,,,,201,321,311,1477,601,478,,,,,29,180,1409,1
12,Cale of Two Cities,Jared,4,9,0,0.308,2139.7,2319.4,,,,,,,,157,264,298,1247,504,532,,,,,36,202,1804,4
13,Bangers and Mash,conor,3,10,0,0.231,2190.9,2319.8,,,,,,,,151,342,322,1249,486,552,,,,,33,177,1300,3
14,Dartmouth Mustard Tigers 🌭🐅,Cameron,3,10,0,0.231,2038.4,2272.3,,,,,,,,132,263,255,1290,601,532,,,,,22,142,1249,1
